#,$id,Air pollution indicator,Geopolitical entity (declaring),"Period of time (a=annual, q=quarterly, m=monthly, d=daily, c=cumulated from January)",Greenhouse gas emissions
prop,,http://epp.eurostat.ec.europa.eu/def/tsdcc100#airpol,http://epp.eurostat.ec.europa.eu/def/tsdcc100#geo,http://epp.eurostat.ec.europa.eu/def/tsdcc100#time,http://epp.eurostat.ec.europa.eu/def/tsdcc100#tsdcc100
type,,url,url,time,
see,,airpol.csv,geo.csv,,
meta,,source,url,http://epp.eurostat.ec.europa.eu/cache/ITY_FIXDST/tsdcc100.xml,dc:source
meta,#col=5,footnote,en,: = not available,rdfs:comment
meta,#col=5,footnote,fr,: = non disponible,rdfs:comment
meta,#col=5,footnote,de,: = nicht verfügbar,rdfs:comment
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,1995,90
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,1996,91
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,1997,88
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,1998,86
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,1999,83
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2000,83
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2001,85
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2002,83
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2003,83
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2004,82
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2005,80
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2006,80
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2007,78
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2008,78
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2009,73
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#DE,2010,75
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1990,100
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1991,92
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1992,68
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1993,52
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1994,54
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1995,49
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1996,51
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1997,50
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1998,46
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,1999,43
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,2000,42
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,2001,43
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,2002,42
,,http://epp.eurostat.ec.europa.eu/def/airpol#5_1,http://epp.eurostat.ec.europa.eu/def/geo#EE,2003,46
